TableName	ColumnName	ParentTableName	ChildTableName	ConstraintName	ParentColumnName	ChildColumnName
AggregatedCounter	Id					
AuditLog	RecordID					
Counter	Id					
Hash	Id					
Job	Id					
Job	StateId					
JobParameter	Id					
JobQueue	Id					
JobQueue	JobId					
LEGAL_LOTS_ATTRIBUTES_4326	FabricOID					
List	Id					
NereidResult	NodeID					
ProjectNereidResult	NodeID					
RegionalSubbasin	DrainID					
RegionalSubbasin	OCSurveyCatchmentID					
RegionalSubbasinStaging	DrainID					
RegionalSubbasinStaging	OCSurveyCatchmentID					
RegionalSubbasinStaging	OCSurveyDownstreamCatchmentID					
Server	Id					
Set	Id					
State	Id					
TrashGeneratingUnit	DelineationID					
TrashGeneratingUnit	OnlandVisualTrashAssessmentAreaID					
TrashGeneratingUnit	WaterQualityManagementPlanID					
TrashGeneratingUnit4326	DelineationID					
TrashGeneratingUnitAdjustment	AdjustedDelineationID					
TrashGeneratingUnitAdjustment	AdjustedOnlandVisualTrashAssessmentAreaID					
TreatmentBMP	RegionalSubbasinID					
TreatmentBMP	SystemOfRecordID					
