TableName	ConstraintName	QueryToRenameConstraint
AggregatedCounter	PK_HangFire_CounterAggregated	exec sp_rename 'PK_HangFire_CounterAggregated', 'PK_AggregatedCounter_Id', 'OBJECT'
Counter	PK_HangFire_Counter	exec sp_rename 'PK_HangFire_Counter', 'PK_Counter_Id', 'OBJECT'
DelineationStaging	AK_DelineationStaging_TreatmentBMPName_StormwaterJurisdictionID	exec sp_rename 'AK_DelineationStaging_TreatmentBMPName_StormwaterJurisdictionID', 'AK_DelineationStaging_TreatmentBMPName_StormwaterJurisdictionID_UploadedByPersonID', 'OBJECT'
gt_pk_metadata	UQ__gt_pk_me__E9F04F89F4C92A3B	exec sp_rename 'UQ__gt_pk_me__E9F04F89F4C92A3B', 'AK_gt_pk_metadata_table_schema_table_name_pk_column', 'OBJECT'
Hash	PK_HangFire_Hash	exec sp_rename 'PK_HangFire_Hash', 'PK_Hash_Id', 'OBJECT'
Job	PK_HangFire_Job	exec sp_rename 'PK_HangFire_Job', 'PK_Job_Id', 'OBJECT'
JobParameter	PK_HangFire_JobParameter	exec sp_rename 'PK_HangFire_JobParameter', 'PK_JobParameter_Id', 'OBJECT'
JobQueue	PK_HangFire_JobQueue	exec sp_rename 'PK_HangFire_JobQueue', 'PK_JobQueue_Id', 'OBJECT'
List	PK_HangFire_List	exec sp_rename 'PK_HangFire_List', 'PK_List_Id', 'OBJECT'
ProjectNetworkSolveHistoryStatusType	AK_ProjectNetworkSolveHistoryStatusTypeProjectNetworkSolveHistoryStatusTypeDisplayName	exec sp_rename 'AK_ProjectNetworkSolveHistoryStatusTypeProjectNetworkSolveHistoryStatusTypeDisplayName', 'AK_ProjectNetworkSolveHistoryStatusType_ProjectNetworkSolveHistoryStatusTypeDisplayName', 'OBJECT'
Schema	PK_HangFire_Schema	exec sp_rename 'PK_HangFire_Schema', 'PK_Schema_Version', 'OBJECT'
Server	PK_HangFire_Server	exec sp_rename 'PK_HangFire_Server', 'PK_Server_Id', 'OBJECT'
Set	PK_HangFire_Set	exec sp_rename 'PK_HangFire_Set', 'PK_Set_Id', 'OBJECT'
State	PK_HangFire_State	exec sp_rename 'PK_HangFire_State', 'PK_State_Id', 'OBJECT'
TreatmentBMPModelingType	PK_TreatmentBMPModelingType_TreatmentBMPModelingTypeDisplayName	exec sp_rename 'PK_TreatmentBMPModelingType_TreatmentBMPModelingTypeDisplayName', 'AK_TreatmentBMPModelingType_TreatmentBMPModelingTypeDisplayName', 'OBJECT'
TreatmentBMPModelingType	PK_TreatmentBMPModelingType_TreatmentBMPModelingTypeName	exec sp_rename 'PK_TreatmentBMPModelingType_TreatmentBMPModelingTypeName', 'AK_TreatmentBMPModelingType_TreatmentBMPModelingTypeName', 'OBJECT'
